id,modulo,teoremas,fuente_descripcion,pilar,categoria,descripcion,dependencias,nombres,INTERPRETACION_objeto,INTERPRETACION_morfismos
mathlib-analysis-asymptotics,Mathlib.Analysis.Asymptotics,761,Defs,SET,analysis,"Asymptotics We introduce these relations: IsBigOWith c l f g : ""f is big O of g along l with constant c""; f =O[l] g : ""f is big O of g along l""; f =Θ[l] g : ""f is big O of g along l and vice versa""; f =o[l] g : ""f is little o of g along l""; f ~[l] g : f and g are equivalent, i.e.",mathlib-algebra-polynomial | mathlib-analysis-convex | mathlib-analysis-locallyconvex | mathlib-analysis-specialfunctions | mathlib-topology-instances | mathlib-topology-openpartialhomeomorph,Asymptotics | IsTheta | IsEquivalent,,
mathlib-algebra-mvpolynomial,Mathlib.Algebra.MvPolynomial,755,Basic,SET,algebra,"Multivariate polynomials This file defines polynomial rings over a base ring (or even semiring), with variables from a general type σ (which could be infinite). Important definitions Let R be a commutative ring (or a semiring) and let σ be an arbitrary type. This file creates the",mathlib-algebra-bigoperators | mathlib-algebra-monoidalgebra | mathlib-algebra-order | mathlib-algebra-polynomial | mathlib-data-fin | mathlib-data-finsupp,MvPolynomial | ACounit,,
mathlib-algebra-star,Mathlib.Algebra.Star,741,Basic,SET,algebra,"Star monoids, rings, and modules We introduce the basic algebraic notions of star monoids, star rings, and star modules. A star algebra is simply a star ring that is also a star module. These are implemented as ""mixin"" typeclasses, so to summon a star ring (for example) one needs",mathlib-algebra-bigoperators | mathlib-algebra-charp | mathlib-algebra-order | mathlib-data-int | mathlib-data-rat | mathlib-data-real,Star | StarMemClass | InvolutiveStar | TrivialStar | StarMul,,
mathlib-grouptheory-perm,Mathlib.GroupTheory.Perm,681,Basic,SET,algebra,Extra lemmas about permutations This file proves miscellaneous lemmas about Equiv.Perm . TODO Most of the content of this file was moved to Mathlib/Algebra/Group/End.lean in https://github.com/leanprover-community/mathlib4/pull/22141. It would be good to merge the remaining lemma,mathlib-algebra-order | mathlib-data-finset | mathlib-data-int | mathlib-data-list | mathlib-data-set | mathlib-grouptheory-groupaction,Perm | Basis | Disjoint | IsSwap,,
mathlib-data-matrix,Mathlib.Data.Matrix,665,Basic,SET,algebra,"Matrices This file contains basic results on matrices including bundled versions of matrix operators. Implementation notes For convenience, Matrix m n α is defined as m → n → α , as this allows elements of the matrix to be accessed with A i j . However, it is not advisable to _co",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-fin | mathlib-data-finset | mathlib-data-int | mathlib-data-nat,Matrix | IsTwoBlockDiagonal | IsSimplyLaced,,
mathlib-data-fin,Mathlib.Data.Fin,660,Basic,SET,algebra,"The finite type with n elements Fin n is the type whose elements are natural numbers smaller than n . This file expands on the development in the core library. Main definitions finZeroElim : Elimination principle for the empty set Fin 0 , generalizes Fin.elim0 . Further definitio",mathlib-algebra-bigoperators | mathlib-data-finset | mathlib-data-int | mathlib-data-nat | mathlib-logic-equiv | mathlib-logic-function,Fin | IsLT,,
mathlib-logic-equiv,Mathlib.Logic.Equiv,659,Basic,LOG,logic,"Equivalence between types In this file we continue the work on equivalences begun in Mathlib/Logic/Equiv/Defs.lean , defining a lot of equivalences between various types and operations on these equivalences. More definitions of this kind can be found in other files. E.g., Mathlib",mathlib-data-fin | mathlib-data-finset | mathlib-data-int | mathlib-data-multiset | mathlib-data-nat | mathlib-data-set,Equiv | Perm,,
mathlib-data-ennreal,Mathlib.Data.ENNReal,649,Basic,SET,algebra,"Extended non-negative reals We define ENNReal = ℝ≥0∞ := WithTop ℝ≥0 to be the type of extended nonnegative real numbers, i.e., the interval [0, +∞] . This type is used as the codomain of a MeasureTheory.Measure , and of the extended distance edist in an EMetricSpace . In this fil",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-finset | mathlib-data-nnreal | mathlib-order-interval,ENNReal | HolderTriple | HolderConjugate,,
mathlib-data-finsupp,Mathlib.Data.Finsupp,617,Basic,SET,algebra,"Miscellaneous definitions, lemmas, and constructions using finsupp Main declarations Finsupp.graph : the finset of input and output pairs with non-zero outputs. Finsupp.mapRange.equiv : Finsupp.mapRange as an equiv. Finsupp.mapDomain : maps the domain of a Finsupp by a function a",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-dfinsupp | mathlib-data-finset | mathlib-data-list | mathlib-data-multiset,Finsupp | Lex | MonomialOrder,,
mathlib-linearalgebra-rootsystem,Mathlib.LinearAlgebra.RootSystem,590,Basic,SET,algebra,"Root data and root systems This file contains basic results for root systems and root data. Main definitions / results: RootPairing.ext : In characteristic zero if there is no torsion, the correspondence between roots and coroots is unique. RootSystem.ext : In characteristic zero",mathlib-algebra-lie | mathlib-linearalgebra-dimension | mathlib-linearalgebra-span | mathlib-order-interval,RootSystem | Base | IsPos | IsBalanced | RootPairing,,
mathlib-grouptheory-groupaction,Mathlib.GroupTheory.GroupAction,566,Basic,SET,algebra,"Basic properties of group actions This file primarily concerns itself with orbits, stabilizers, and other objects defined in terms of actions. Despite this file being called basic , low-level helper lemmas for algebraic manipulation of • belong elsewhere. Main definitions MulActi",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-data-fin | mathlib-data-nat | mathlib-data-set | mathlib-grouptheory-specificgroups,GroupAction | IsFixedBlock | IsInvariantBlock | IsTrivialBlock | IsBlock,,
mathlib-order-hom,Mathlib.Order.Hom,555,Basic,SET,set-theory,"Order homomorphisms This file defines order homomorphisms, which are bundled monotone functions. A preorder homomorphism f : α →o β is a function α → β along with a proof that ∀ x y, x ≤ y → f x ≤ f y . Main definitions In this file we define the following bundled monotone maps: ",mathlib-data-finset | mathlib-data-set | mathlib-data-sum | mathlib-logic-equiv | mathlib-logic-function | mathlib-order-interval,Hom | OrderHom | OrderEmbedding | OrderIso | OrderHomClass,,
mathlib-ringtheory-powerseries,Mathlib.RingTheory.PowerSeries,554,Basic,SET,algebra,Formal power series (in one variable) This file defines (univariate) formal power series and develops the basic properties of these objects. A formal power series is to a polynomial like an infinite sum is to a finite sum. Formal power series in one variable are defined from mult,mathlib-algebra-charp | mathlib-algebra-mvpolynomial | mathlib-algebra-polynomial | mathlib-analysis-rclike | mathlib-data-enat | mathlib-data-finsupp,PowerSeries | HasEval | IsRestricted,,
mathlib-topology-instances,Mathlib.Topology.Instances,554,títulos del subárbol,SET,topology,topology instances: Ternary Cantor Set; Some results about the topology of ℂ; Instances related to the discrete topology; Topology on extended natural numbers; Topology on the integers; Topology of irrational numbers,mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-analysis-complex | mathlib-analysis-real | mathlib-data-enat | mathlib-data-ennreal,Instances | AddCircle | UnitAddCircle,,
mathlib-ringtheory-localization,Mathlib.RingTheory.Localization,551,Basic,SET,algebra,"Localizations of commutative rings This file contains various basic results on localizations. We characterize the localization of a commutative ring R at a submonoid M up to isomorphism; that is, a commutative ring S is the localization of R at M iff we can find a ring homomorphi",mathlib-algebra-bigoperators | mathlib-algebra-order | mathlib-linearalgebra-basis | mathlib-linearalgebra-dimension | mathlib-ringtheory-spectrum,Localization | IsLocalization' | IsLocalization | IsFractionRing | FractionRing,,
mathlib-linearalgebra-tensorproduct,Mathlib.LinearAlgebra.TensorProduct,546,Basic,SET,algebra,"Universal property of the tensor product Given any bilinear map f : M →ₛₗ[σ₁₂] N →ₛₗ[σ₁₂] P₂ , there is a unique semilinear map TensorProduct.lift f : TensorProduct R M N →ₛₗ[σ₁₂] P₂ whose composition with the canonical bilinear map TensorProduct.mk is the given bilinear map f . ",mathlib-algebra-directsum | mathlib-data-int | mathlib-linearalgebra-basis | mathlib-linearalgebra-finsupp | mathlib-ringtheory-gradedalgebra | mathlib-ringtheory-tensorproduct,TensorProduct | CompatibleSMul,,
mathlib-topology-continuousmap,Mathlib.Topology.ContinuousMap,541,Basic,SET,topology,"Continuous bundled maps In this file we define the type ContinuousMap of continuous bundled maps. We use the DFunLike design, so each type of morphisms has a companion typeclass which is meant to be satisfied by itself and all stricter types.",mathlib-algebra-order | mathlib-algebra-star | mathlib-analysis-complex | mathlib-analysis-rclike | mathlib-analysis-specialfunctions | mathlib-data-real,ContinuousMap | SeparatesPoints | SeparatesPointsStrongly | CocompactMap | CocompactMapClass,,
mathlib-algebraictopology-simplicialset,Mathlib.AlgebraicTopology.SimplicialSet,520,Basic,SET,topology,"Simplicial sets A simplicial set is just a simplicial object in Type , i.e. a Type -valued presheaf on the simplex category. (One might be tempted to call these ""simplicial types"" when working in type-theoretic foundations, but this would be unnecessarily confusing given the exis",mathlib-categorytheory-limits | mathlib-categorytheory-monoidal | mathlib-categorytheory-morphismproperty | mathlib-data-fin | mathlib-logic-equiv,SimplicialSet | SSet | Truncated | Augmented | Edge,,
mathlib-numbertheory-modularforms,Mathlib.NumberTheory.ModularForms,514,Basic,SET,number-theory,"Modular forms This file defines modular forms and proves some basic properties about them. Including constructing the graded ring of modular forms. We begin by defining modular forms and cusp forms as extension of SlashInvariantForm s then we define the space of modular forms, cu",mathlib-algebra-directsum | mathlib-analysis-asymptotics | mathlib-analysis-complex | mathlib-analysis-rclike | mathlib-analysis-specialfunctions | mathlib-numbertheory-lseries,ModularForms | HasDetPlusMinusOne | HasDetOne | IsArithmetic | ModularForm,,
mathlib-data-int,Mathlib.Data.Int,510,Basic,SET,algebra,Basic operations on the integers This file builds on Data.Int.Init by adding basic lemmas on integers. depending on Mathlib definitions.,mathlib-algebra-order | mathlib-data-nat | mathlib-data-nnreal | mathlib-data-rat | mathlib-data-set | mathlib-logic-function,Int | ModEq,,
mathlib-probability-independence,Mathlib.Probability.Independence,500,Basic,SET,probability,"Independence of sets of sets and measure spaces (σ-algebras) A family of sets of sets π : ι → Set (Set Ω) is independent with respect to a measure μ if for any finite set of indices s = {i_1, ..., i_n} , for any sets f i_1 ∈ π i_1, ..., f i_n ∈ π i_n , μ (⋂ i in s, f i) = ∏ i ∈ s",mathlib-measuretheory-group | mathlib-measuretheory-integral,Independence | IndepSets | Indep | IndepSet | IndepFun,,
mathlib-numbertheory-lseries,Mathlib.NumberTheory.LSeries,485,Basic,SET,number-theory,"L-series Given a sequence f: ℕ → ℂ , we define the corresponding L-series. Main Definitions LSeries.term f s n is the n th term of the L-series of the sequence f at s : ℂ . We define it to be zero when n = 0 . LSeries f is the L-series with a given sequence f as its coefficients.",mathlib-algebra-bigoperators | mathlib-analysis-asymptotics | mathlib-analysis-complex | mathlib-analysis-fourier | mathlib-analysis-specialfunctions | mathlib-data-ereal,LSeries | WeakFEPair | StrongFEPair | LSeriesSummable | LSeriesHasSum,,
mathlib-order-completelattice,Mathlib.Order.CompleteLattice,468,Basic,SET,set-theory,"Theory of complete lattices This file contains basic results on complete lattices. Naming conventions In lemma names, sSup is called sSup sInf is called sInf ⨆ i, s i is called iSup ⨅ i, s i is called iInf ⨆ i j, s i j is called iSup₂ . This is an iSup inside an iSup . ⨅ i j, s i",mathlib-algebra-order | mathlib-categorytheory-limits | mathlib-data-finset | mathlib-data-nat | mathlib-data-set | mathlib-order-bounds,CompleteLattice | CompleteSemilatticeSup | CompleteSemilatticeInf | CompleteLinearOrder,,
mathlib-analysis-boxintegral,Mathlib.Analysis.BoxIntegral,422,Basic,SET,analysis,"Integrals of Riemann, Henstock-Kurzweil, and McShane In this file we define the integral of a function over a box in ℝⁿ . The same definition works for Riemann, Henstock-Kurzweil, and McShane integrals. As usual, we represent ℝⁿ as the type of functions ι → ℝ for some finite type",mathlib-algebra-bigoperators | mathlib-data-nnreal | mathlib-data-set | mathlib-measuretheory-integral | mathlib-order-interval | mathlib-topology-order,BoxIntegral | HasIntegral | Integrable | Box | Icc,,
mathlib-ringtheory-mvpolynomial,Mathlib.RingTheory.MvPolynomial,404,docstring propio,SET,algebra,"Multivariate polynomials over fields This file contains basic facts about multivariate polynomials over fields, for example that the dimension of the space of multivariate polynomials over a field is equal to the cardinality of finitely supported functions from the indexing set t",mathlib-algebra-bigoperators | mathlib-algebra-charp | mathlib-algebra-directsum | mathlib-algebra-monoidalgebra | mathlib-algebra-mvpolynomial | mathlib-algebra-order,MvPolynomial | IsHomogeneous | Monic | IsWeightedHomogeneous | NonTorsionWeight,,
mathlib-ringtheory-mvpowerseries,Mathlib.RingTheory.MvPowerSeries,403,Basic,SET,algebra,Formal (multivariate) power series This file defines multivariate formal power series and develops the basic properties of these objects. A formal power series is to a polynomial like an infinite sum is to a finite sum. We provide the natural inclusion from multivariate polynomia,mathlib-algebra-charp | mathlib-algebra-mvpolynomial | mathlib-algebra-order | mathlib-data-enat | mathlib-data-finsupp | mathlib-order-filter,MvPowerSeries | HasEval | IsWeightedHomogeneous | IsHomogeneous | HasSubst,,
mathlib-categorytheory-triangulated,Mathlib.CategoryTheory.Triangulated,400,Basic,CAT,category-theory,Triangles This file contains the definition of triangles in an additive category with an additive shift. It also defines morphisms between these triangles. TODO: generalise this to n-angles in n-angulated categories as in https://arxiv.org/abs/1006.4592,mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-localization | mathlib-categorytheory-morphismproperty | mathlib-categorytheory-objectproperty | mathlib-categorytheory-shift,Triangulated | IsTriangulated | Triangle | TriangleMorphism | IsHomological,,
mathlib-data-real,Mathlib.Data.Real,399,Basic,SET,algebra,"Real numbers from Cauchy sequences This file defines ℝ as the type of equivalence classes of Cauchy sequences of rational numbers. This choice is motivated by how easy it is to prove that ℝ is a commutative ring, by simply lifting everything to ℚ . The facts that the real numbers",mathlib-algebra-order | mathlib-algebra-star | mathlib-data-enat | mathlib-data-ennreal | mathlib-data-nnreal | mathlib-data-rat,Real | IsPowMul | IsBoundedWrt | HolderTriple | HolderConjugate,,
mathlib-probability-moments,Mathlib.Probability.Moments,395,Basic,SET,probability,"Moments and moment-generating function Main definitions ProbabilityTheory.moment X p μ : p th moment of a real random variable X with respect to measure μ , μ[X^p] ProbabilityTheory.centralMoment X p μ : p th central moment of X with respect to measure μ , μ[(X - μ[X])^p] Probabi",mathlib-analysis-complex | mathlib-analysis-locallyconvex | mathlib-analysis-specialfunctions | mathlib-measuretheory-integral | mathlib-probability-independence,Moments | HasSubgaussianMGF | HasCondSubgaussianMGF,,
mathlib-topology-constructions,Mathlib.Topology.Constructions,395,docstring propio,SET,topology,"Constructions of new topological spaces from old ones This file constructs pi types, subtypes and quotients of topological spaces and sets up their basic theory, such as criteria for maps into or out of these constructions to be continuous; descriptions of the open sets, neighbor",mathlib-data-fin | mathlib-data-finset | mathlib-order-filter,Constructions | IsDiscrete | CofiniteTopology,,
mathlib-order-succpred,Mathlib.Order.SuccPred,385,Basic,SET,set-theory,"Successor and predecessor This file defines successor and predecessor orders. succ a , the successor of an element a : α is the least element greater than a . pred a is the greatest element less than a . Typical examples include ℕ , ℤ , ℕ+ , Fin n , but also ENat , the lexicograp",mathlib-algebra-order | mathlib-data-finset | mathlib-data-nat | mathlib-data-set | mathlib-order-conditionallycompletelattice | mathlib-order-interval,SuccPred | IsSuccArchimedean | IsPredArchimedean | NaiveSuccOrder | SuccOrder,,
mathlib-topology-category,Mathlib.Topology.Category,382,títulos del subárbol,SET,topology,topology category: The category of bornologies; Compactly generated topological spaces; Compacta and Compact Hausdorff Spaces; Delta-generated topological spaces; Category of finite topological spaces; The category of locales,mathlib-algebra-category | mathlib-categorytheory-adjunction | mathlib-categorytheory-limits | mathlib-categorytheory-monoidal | mathlib-data-finset | mathlib-data-set,Category | Born | CompactlyGenerated | Compactum | DeltaGenerated,,
mathlib-algebraicgeometry-morphisms,Mathlib.AlgebraicGeometry.Morphisms,379,Basic,SET,geometry,"Properties of morphisms between Schemes We provide the basic framework for talking about properties of morphisms between Schemes. A MorphismProperty Scheme is a predicate on morphisms between schemes. For properties local at the target, its behaviour is entirely determined by its",mathlib-algebra-category | mathlib-categorytheory-limits | mathlib-categorytheory-morphismproperty | mathlib-data-list | mathlib-ringtheory-spectrum,Morphisms | IsAffineHom | IsZariskiLocalAtTarget | IsZariskiLocalAtSource | AffineTargetMorphismProperty,,
mathlib-measuretheory-group,Mathlib.MeasureTheory.Group,374,Defs,SET,probability,Definitions about invariant measures In this file we define typeclasses for measures invariant under (scalar) multiplication. - MeasureTheory.SMulInvariantMeasure M α μ says that the measure μ is invariant under scalar multiplication by c : M ; - MeasureTheory.VAddInvariantMeasur,mathlib-analysis-convex | mathlib-grouptheory-groupaction | mathlib-measuretheory-integral | mathlib-order-filter | mathlib-topology-continuousmap,Group | MeasurableAdd | MeasurableAdd₂ | MeasurableMul | MeasurableMul₂,,
